Energy Consumption by Family Size,,,,,,Appliance Count vs Energy Consumption,,,,,Income vs Energy Consumption,,,,,Monthly Energy Consumption,,,,,,High-Energy Household PivotTable
,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Average of Electricity_Usage (kWh),Average of Gas_Usage,Average of Total_Energy_Usage,,,Row Labels,Average of Electricity_Usage (kWh),Average of Total_Energy_Usage,,Row Labels,Average of Electricity_Usage (kWh),Average of Gas_Usage,Average of Total_Energy_Usage,,,Row Labels,Average of Electricity_Usage (kWh),Average of Gas_Usage,Average of Total_Energy_Usage,,,#SPILL!
1,283.1944444,123.4722222,406.6666667,,,2,286.92,422.4,,High,298.2857143,127.5510204,425.8367347,,,Jan,300.3913043,133.9565217,434.3478261,,,
2,309.2333333,122.8666667,432.1,,,3,334.75,460.25,,low,286.3653846,116.5384615,402.9038462,,,Feb,349.1666667,125.75,474.9166667,,,
3,330.625,118.3125,448.9375,,,4,299.0526316,420.3684211,,Middle,312.12,122.56,434.68,,,Mar,271.4782609,119.9565217,391.4347826,,,
4,277.4444444,121.7777778,399.2222222,,,5,303.5263158,432,,Grand Total,301.34,123.264,424.604,,,Apr,291.9285714,118.6428571,410.5714286,,,
5,316.25,122.375,438.625,,,6,278.3333333,390.047619,,,,,,,,May,299.3478261,125.6521739,425,,,
6,296.2352941,124.2352941,420.4705882,,,7,339.047619,462,,,,,,,,Jun,339.2,118.55,457.75,,,
7,307.4634146,128.7560976,436.2195122,,,8,285.7058824,418,,,,,,,,Jul,305.92,122.04,427.96,,,
Grand Total,301.34,123.264,424.604,,,9,299.1923077,408.6153846,,,,,,,,Aug,254.3,126.25,380.55,,,
,,,,,,10,299.5263158,421.8421053,,,,,,,,Sep,270.0526316,126.2105263,396.2631579,,,
,,,,,,11,307.625,421.8125,,,,,,,,Oct,340.1818182,119.2272727,459.4090909,,,
,,,,,,12,304.9090909,432.6818182,,,,,,,,Nov,287.0526316,111.4210526,398.4736842,,,
,,,,,,13,296.7142857,418.5,,,,,,,,Dec,291.2777778,129,420.2777778,,,
,,,,,,14,295.7894737,426.7368421,,,,,,,,Grand Total,301.34,123.264,424.604,,,
,,,,,,Grand Total,301.34,424.604,,,,,,,,,,,,,,
